"","X","cohort","subfield","female_proportion"
"91",81,"2010","Clinical Psychology",0.664383561643836
"92",87,"2010","Social Psychology",0.605392156862745
"93",84,"2010","Neuropsychology and Physiological Psychology",0.644736842105263
"94",80,"2010","Applied Psychology",0.58908507223114
"95",85,"2010","General psychology",0.599130907115698
"96",83,"2010","Experimental and Cognitive Psychology",0.587761674718196
"97",82,"2010","Developmental and Educational Psychology",0.733585858585859
"98",86,"2010","Psychology (miscellaneous)",0.561224489795918
"99",10,"2010","Overall",0.629243644402337
"100",89,"2011","Clinical Psychology",0.67663421418637
"101",95,"2011","Social Psychology",0.631460674157303
"102",92,"2011","Neuropsychology and Physiological Psychology",0.6
"103",88,"2011","Applied Psychology",0.609442060085837
"104",93,"2011","General psychology",0.589622641509434
"105",91,"2011","Experimental and Cognitive Psychology",0.579454253611557
"106",90,"2011","Developmental and Educational Psychology",0.7451205510907
"107",94,"2011","Psychology (miscellaneous)",0.653846153846154
"108",11,"2011","Overall",0.63440091507006
"109",97,"2012","Clinical Psychology",0.677170868347339
"110",103,"2012","Social Psychology",0.630820399113082
"111",100,"2012","Neuropsychology and Physiological Psychology",0.6578073089701
"112",96,"2012","Applied Psychology",0.628415300546448
"113",101,"2012","General psychology",0.639739413680782
"114",99,"2012","Experimental and Cognitive Psychology",0.606012658227848
"115",98,"2012","Developmental and Educational Psychology",0.752173913043478
"116",102,"2012","Psychology (miscellaneous)",0.597701149425287
"117",12,"2012","Overall",0.658253021263577
"118",105,"2013","Clinical Psychology",0.684245220830587
"119",111,"2013","Social Psychology",0.653761061946903
"120",108,"2013","Neuropsychology and Physiological Psychology",0.645522388059702
"121",104,"2013","Applied Psychology",0.614540466392318
"122",109,"2013","General psychology",0.651785714285714
"123",107,"2013","Experimental and Cognitive Psychology",0.604538087520259
"124",106,"2013","Developmental and Educational Psychology",0.753910323253389
"125",110,"2013","Psychology (miscellaneous)",0.560747663551402
"126",13,"2013","Overall",0.664175690102181
"127",113,"2014","Clinical Psychology",0.674479166666667
"128",119,"2014","Social Psychology",0.593984962406015
"129",116,"2014","Neuropsychology and Physiological Psychology",0.682926829268293
"130",112,"2014","Applied Psychology",0.577777777777778
"131",117,"2014","General psychology",0.641426783479349
"132",115,"2014","Experimental and Cognitive Psychology",0.601637107776262
"133",114,"2014","Developmental and Educational Psychology",0.770793036750484
"134",118,"2014","Psychology (miscellaneous)",0.669724770642202
"135",14,"2014","Overall",0.653169265989412
